Menu Item,Item Type,Item Temp,Wheat,Gluten,Milk,Egg,Soy,Peanuts,Tree Nuts,Fish,Shellfish,Sesame,Mustard,Sulphites,Food chain,Barley,Oat,Rye,Triticale
Mango Pineapple Real Fruit Smoothie without yogurt - Snack Size,,Cold,,,,,,,,,,,,,McD,,,,
Mini Chocolatine,,Hot,X,,X,X,X,,,,,,,,McD,,,,
Mocha with 2% milk - Large,,Hot,,,o,,X,,,,,,,,McD,,,,
Mocha with 2% milk - Medium,,Hot,,,o,,X,,,,,,,,McD,,,,
Mocha with 2% milk - Small,,Hot,,,o,,X,,,,,,,,McD,,,,
Mocha with skim milk - Large,,Hot,,,o,,X,,,,,,,,McD,,,,
Mocha with skim milk - Medium,,Hot,,,o,,X,,,,,,,,McD,,,,
Mocha with skim milk - Small,,Hot,,,o,,X,,,,,,,,McD,,,,
New Banana Mango Pineapple Protein Smoothie - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
New Banana Mango Pineapple Protein Smoothie - Small,,Cold,,,X,,,,,,,,,,McD,,,,
New Banana Mango Pineapple Real Fruit Smoothie with yogurt - Large,,Cold,,,X,,,,,,,,,,McD,,,,
New Banana Mango Pineapple Real Fruit Smoothie with yogurt - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
New Banana Mango Pineapple Real Fruit Smoothie with yogurt - Small,,Cold,,,X,,,,,,,,,,McD,,,,
New Banana Mango Pineapple Real Fruit Smoothie with yogurt - Snack Size,,Cold,,,X,,,,,,,,,,McD,,,,
"New Banana Mango Pineapple Real Fruit Smoothie without yogurt
- Large",,Cold,,,,,,,,,,,,,McD,,,,
"New Banana Mango Pineapple Real Fruit Smoothie without yogurt
- Medium",,Cold,,,,,,,,,,,,,McD,,,,
"New Banana Mango Pineapple Real Fruit Smoothie without yogurt
- Small",,Cold,,,,,,,,,,,,,McD,,,,
"New Banana Mango Pineapple Real Fruit Smoothie without yogurt
- Snack Size",,Cold,,,,,,,,,,,,,McD,,,,
New Strawberries and Cream  Muffin,,Hot,X,,X,X,X,,,,,,,,McD,,X,,
OREO Cookie Coffee Iced Frappé - Large,,Cold,X,,X,,X,,,,,,,,McD,,,,
OREO Cookie Coffee Iced Frappé - Medium,,Cold,X,,X,,X,,,,,,,,McD,,,,
OREO Cookie Coffee Iced Frappé - Small,,Cold,X,,X,,X,,,,,,,,McD,,,,
OREO Cookie Coffee Iced Frappé - Snack Size,,Cold,X,,X,,X,,,,,,,,McD,,,,
Premium Roast Brewed Coffee - Eotra Large,,Hot,,,,,,,,,,,,,McD,,,,
Premium Roast Brewed Coffee - Large,,Hot,,,,,,,,,,,,,McD,,,,
Premium Roast Brewed Coffee - Medium,,Hot,,,,,,,,,,,,,McD,,,,
Premium Roast Brewed Coffee - Small,,Hot,,,,,,,,,,,,,McD,,,,
Premium Roast Brewed Iced Coffee - Large,,Hot,,,X,,,,,,,,,,McD,,,,
Premium Roast Brewed Iced Coffee - Medium,,Hot,,,X,,,,,,,,,,McD,,,,
Premium Roast Brewed Iced Coffee - Small,,Hot,,,X,,,,,,,,,,McD,,,,
Premium Tea - Eotra Large,,Hot,,,,,,,,,,,,,McD,,,,
Premium Tea - Large,,Hot,,,,,,,,,,,,,McD,,,,
Premium Tea - Medium,,Hot,,,,,,,,,,,,,McD,,,,
Premium Tea - Small,,Hot,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Protein Smoothie - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Protein Smoothie - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie with yogurt  - Medium,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie with yogurt  - Small,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie with yogurt - Large,,Cold,,,X,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Large,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Medium,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Small,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry & Banana Real Fruit Smoothie without yogurt - Snack Size,,Cold,,,,,,,,,,,,,McD,,,,
Strawberry Cream Cheese Danish,,Hot,X,,X,X,o,,,,,,,,McD,,,,
"Sugar Free Vanilla Cappuccino with 2% milk
- Large",,Hot,,,X,,,,,,,,,X,McD,,,,
"Sugar Free Vanilla Cappuccino with 2% milk
- Medium",,Hot,,,X,,,,,,,,,X,McD,,,,
"Sugar Free Vanilla Cappuccino with 2% milk
- Small",,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Cappuccino with skim milk - Large,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Cappuccino with skim milk - Medium,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Cappuccino with skim milk - Small,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Iced Coffee - Large,,Cold,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Iced Coffee - Medium,,Cold,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Iced Coffee - Small,,Cold,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with 2% milk - Large,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with 2% milk - Medium,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with 2% milk - Small,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with skim milk - Large,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with skim milk - Medium,,Hot,,,X,,,,,,,,,X,McD,,,,
Sugar Free Vanilla Latte with skim milk - Small,,Hot,,,X,,,,,,,,,X,McD,,,,
"Vanilla Chai Iced Frappé
- Large",,Cold,,,X,,,,,,,,,,McD,,,,
"Vanilla Chai Iced Frappé
- Medium",,Cold,,,X,,,,,,,,,,McD,,,,
"Vanilla Chai Iced Frappé
- Small",,Cold,,,X,,,,,,,,,,McD,,,,
"Vanilla Chai Iced Frappé
- Snack Size",,Cold,,,X,,,,,,,,,,McD,,,,
Bacon & Cheddar Angus,,Hot,X,,X,,,,,,,X,X,,McD,X,,,
Big Mac,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Cheeseburger,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Double Big Mac,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Double Cheeseburger,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Double Quarter Pounder with Cheese,,Hot,X,,X,,X,,,,,X,X,,McD,X,,,
Double Quarter Pounder without Cheese,,Hot,X,,,,,,,,,X,X,,McD,X,,,
Hamburger,,Hot,X,,,,,,,,,o,X,,McD,X,,,
McDouble,,Hot,X,,X,,X,,,,,o,X,,McD,X,,,
Mighty Angus Original,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Quarter Pounder BLT,,Hot,X,,X,X,X,,,,,X,X,,McD,X,,,
Quarter Pounder with Cheese,,Hot,X,,X,,X,,,,,X,X,,McD,X,,,
Quarter Pounder without Cheese,,Hot,X,,,,,,,,,X,X,,McD,X,,,
10 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
20 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
4 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
6 Chicken McNuggets,,Hot,X,,,,,,,,,,,,McD,,,,
BLT with Crispy Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
BLT with Grilled Chicken,,Hot,X,,X,X,,,,,,o,X,,McD,,,,
Chicken & Bacon McWrap with Crispy Chicken,,Hot,X,,,X,,,,,,,X,,McD,,,,
Chicken & Bacon McWrap with Grilled Chicken,,Hot,X,,X,X,,,,,,,X,,McD,,,,
Chipotle Chicken Snack Wrap with Crispy Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Chipotle Chicken Snack Wrap with Grilled Chicken,,Hot,X,,X,,,,,,,,,,McD,,,,
Junior Chicken,,Hot,X,,,X,,,,,,o,X,,McD,X,,,
