Menu Items,Per Serve Size,Energy (kCal),Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Total carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Food chain,Menu Category,Calories from Fat,Total Fat (% Daily Value),Saturated Fat (% Daily Value),Cholesterol (% Daily Value),Sodium (% Daily Value),Carbohydrates (% Daily Value),Dietary Fiber (% Daily Value),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
Egg McMuffin,4.8 oz (136 g),300,13,5,0,260,750,31,4,3,,17,McD,Breakfast,120,20,25,87,31,10,17,10,0,25,15
Egg White Delight,4.8 oz (135 g),250,8,3,0,25,770,30,4,3,,18,McD,Breakfast,70,12,15,8,32,10,17,6,0,25,8
Sausage McMuffin,3.9 oz (111 g),370,23,8,0,45,780,29,4,2,,14,McD,Breakfast,200,35,42,15,33,10,17,8,0,25,10
Sausage McMuffin with Egg,5.7 oz (161 g),450,28,10,0,285,860,30,4,2,,21,McD,Breakfast,250,43,52,95,36,10,17,15,0,30,15
Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,23,8,0,50,880,30,4,2,,21,McD,Breakfast,210,35,42,16,37,10,17,6,0,25,10
Steak & Egg McMuffin,6.5 oz (185 g),430,23,9,1,300,960,31,4,3,,26,McD,Breakfast,210,36,46,100,40,10,18,15,2,30,20
"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460,26,13,0,250,1300,38,2,3,,19,McD,Breakfast,230,40,65,83,54,13,7,10,8,15,15
"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520,30,14,0,250,1410,43,3,4,,19,McD,Breakfast,270,47,68,83,59,14,12,15,8,20,20
"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,20,11,0,35,1300,36,2,3,,20,McD,Breakfast,180,32,56,11,54,12,7,2,8,15,10
"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,25,12,0,35,1420,42,3,4,,20,McD,Breakfast,220,38,59,11,59,14,12,6,8,15,15
Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,27,12,0,30,1080,34,2,2,,11,McD,Breakfast,240,42,62,10,45,11,6,0,0,6,15
Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,31,13,0,30,1190,39,3,3,,11,McD,Breakfast,280,48,65,10,50,13,11,4,0,8,15
Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,33,14,0,250,1170,36,2,2,,18,McD,Breakfast,290,50,71,83,49,12,6,6,0,10,20
Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,37,15,0,250,1280,42,3,3,,18,McD,Breakfast,330,57,74,83,53,14,11,10,0,10,20
Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,27,12,0,35,1180,34,2,3,,18,McD,Breakfast,250,42,62,11,49,11,6,0,0,8,15
Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,32,13,0,35,1290,40,3,3,,18,McD,Breakfast,280,49,65,11,54,13,11,4,0,8,15
Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,20,8,0,30,1180,41,2,3,,17,McD,Breakfast,180,31,41,10,49,14,6,0,2,6,15
Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,24,9,0,30,1290,46,3,4,,17,McD,Breakfast,220,37,45,10,54,15,11,4,2,8,15
Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,32,16,1,280,1470,38,2,3,,25,McD,Breakfast,290,49,78,93,61,13,8,10,2,20,25
"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460,21,9,0,250,1250,48,2,15,,19,McD,Breakfast,190,32,44,84,52,16,9,10,10,20,15
"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,15,7,0,35,1250,47,2,16,,20,McD,Breakfast,140,24,34,11,52,16,9,2,10,15,10
Sausage McGriddles,5 oz (141 g),420,22,8,0,35,1030,44,2,15,,11,McD,Breakfast,200,34,40,11,43,15,8,0,0,8,10
"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550,31,12,0,265,1320,48,2,15,,20,McD,Breakfast,280,48,61,89,55,16,9,10,0,20,15
"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,26,10,0,50,1320,46,2,15,,21,McD,Breakfast,230,40,52,17,55,15,9,2,0,20,10
"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,31,11,0.5,275,1480,57,3,7,,30,McD,Breakfast,280,48,56,92,62,19,11,20,15,20,20
"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,25,9,0.5,60,1480,55,3,8,,30,McD,Breakfast,230,39,45,20,62,18,12,10,15,20,15
"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670,35,13,1.5,295,1510,56,3,7,,33,McD,Breakfast,310,53,63,99,63,19,12,20,4,25,25
Big Breakfast (Regular Biscuit),9.5 oz (269 g),740,48,17,0,555,1560,51,3,3,,28,McD,Breakfast,430,73,87,185,65,17,12,15,2,15,25
Big Breakfast (Large Biscuit),10 oz (283 g),800,52,18,0,555,1680,56,4,3,,28,McD,Breakfast,470,80,90,185,70,19,17,15,2,15,30
Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,37,14,0,35,1590,50,3,3,,26,McD,Breakfast,330,57,69,12,66,17,12,0,2,10,15
Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,41,14,0,35,1700,55,4,4,,26,McD,Breakfast,370,63,72,12,71,18,17,4,2,10,15
Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),1090,56,19,0,575,2150,111,6,17,,36,McD,Breakfast,510,87,96,192,90,37,23,15,2,25,40
Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),1150,60,20,0,575,2260,116,7,17,,36,McD,Breakfast,540,93,100,192,94,39,28,15,2,30,40
Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),990,46,16,0,55,2170,110,6,17,,35,McD,Breakfast,410,70,78,19,91,37,23,0,2,25,30
Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),1050,50,16,0,55,2290,115,7,18,,35,McD,Breakfast,450,77,81,19,95,38,28,4,2,25,30
Hotcakes,5.3 oz (151 g),350,9,2,0,20,590,60,3,14,,8,McD,Breakfast,80,13,9,7,24,20,10,0,0,15,15
Hotcakes and Sausage,6.8 oz (192 g),520,24,7,0,50,930,61,3,14,,15,McD,Breakfast,210,37,36,17,39,20,10,0,0,15,15
Sausage Burrito,3.9 oz (111 g),300,16,7,0,115,790,26,1,2,,12,McD,Breakfast,150,25,33,38,33,9,5,10,2,15,15
Hash Brown,2 oz (56 g),150,9,1.5,0,0,310,15,2,0,,1,McD,Breakfast,80,14,6,0,13,5,6,0,2,0,2
Cinnamon Melts,4 oz (114 g),460,19,9,0,15,370,66,3,32,,6,McD,Breakfast,170,30,43,5,15,22,11,4,0,6,15
Fruit & Maple Oatmeal,9.6 oz (251 g),290,4,1.5,0,5,160,58,5,32,,5,McD,Breakfast,35,6,8,2,7,19,19,2,130,10,10
Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260,4,1.5,0,5,115,49,5,18,,5,McD,Breakfast,40,6,8,2,5,16,22,2,130,6,10
Big Mac,7.4 oz (211 g),530,27,10,1,85,960,47,3,9,,24,McD,Beef & Pork,240,42,48,28,40,16,13,6,2,25,25
Quarter Pounder with Cheese,7.1 oz (202 g),520,26,12,1.5,95,1100,41,3,10,,30,McD,Beef & Pork,240,41,61,31,46,14,11,10,2,30,25
Quarter Pounder with Bacon & Cheese,8 oz (227 g),600,29,13,1.5,105,1440,48,3,12,,37,McD,Beef & Pork,260,45,63,34,60,16,12,6,15,25,30
Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),610,31,13,1.5,105,1180,46,3,10,,37,McD,Beef & Pork,280,48,64,35,49,15,14,8,20,25,30
Quarter Pounder Deluxe,8.6 oz (244 g),540,27,11,1.5,85,960,45,3,9,,29,McD,Beef & Pork,250,42,54,28,40,15,13,10,8,25,30
Double Quarter Pounder with Cheese,10 oz (283 g),750,43,19,2.5,160,1280,42,3,10,,48,McD,Beef & Pork,380,66,96,53,53,14,11,10,2,30,35
Hamburger,3.5 oz (98 g),240,8,3,0,30,480,32,1,6,,12,McD,Beef & Pork,70,12,15,10,20,11,6,2,2,10,15
Cheeseburger,4 oz (113 g),290,11,5,0.5,45,680,33,2,7,,15,McD,Beef & Pork,100,18,27,15,28,11,7,6,2,20,15
Double Cheeseburger,5.7 oz (161 g),430,21,10,1,90,1040,35,2,7,,24,McD,Beef & Pork,190,32,52,30,43,12,8,10,2,30,20
Bacon Clubhouse Burger,9.5 oz (270 g),720,40,15,1.5,115,1470,51,4,14,,39,McD,Beef & Pork,360,62,75,38,61,17,14,8,25,30,25
McDouble,5.2 oz (147 g),380,17,8,1,75,840,34,2,7,,22,McD,Beef & Pork,150,26,40,25,35,11,7,6,2,20,20
Bacon McDouble,5.7 oz (161 g),440,22,10,1,90,1110,35,2,7,,27,McD,Beef & Pork,200,34,49,30,46,12,7,6,10,20,20
Daily Double,6.7 oz (190 g),430,22,9,1,80,760,34,2,7,,22,McD,Beef & Pork,200,35,44,27,32,11,8,8,8,20,20
Jalape̱o Double,5.6 oz (159 g),430,23,9,1,80,1030,35,2,6,,22,McD,Beef & Pork,210,36,44,27,43,12,7,6,8,20,20
McRib,7.3 oz (208 g),500,26,10,0,70,980,44,3,11,,22,McD,Beef & Pork,240,40,48,23,41,15,10,2,2,15,20
Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,22,3.5,0,45,990,55,3,10,,24,McD,Chicken & Fish,200,33,18,16,41,18,13,4,6,15,20
Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,9,2,0,65,820,42,3,8,,28,McD,Chicken & Fish,80,13,9,22,34,14,13,4,8,15,20
Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,33,9,0,85,1410,58,3,11,,36,McD,Chicken & Fish,300,51,44,29,59,19,14,8,20,30,20
Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,20,7,0,105,1250,44,3,9,,40,McD,Chicken & Fish,180,31,36,35,52,15,13,8,20,30,20
Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,28,6,0,70,1400,57,3,11,,32,McD,Chicken & Fish,250,43,31,24,58,19,13,4,20,15,20
Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,15,4.5,0,90,1230,43,3,9,,36,McD,Chicken & Fish,130,23,22,30,51,14,13,4,20,15,20
Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,38,10,0.5,90,1720,65,4,16,,36,McD,Chicken & Fish,340,59,51,31,72,22,15,8,25,30,15
Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,25,8,0,110,1560,51,4,14,,40,McD,Chicken & Fish,230,39,42,37,65,17,15,8,30,30,15
Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,19,3,0,45,910,43,2,7,,21,McD,Chicken & Fish,170,29,15,14,38,14,7,4,2,15,15
McChicken,5.1 oz (143 g),360,16,3,0,35,800,40,2,5,,14,McD,Chicken & Fish,140,25,15,11,33,13,7,0,2,10,15
Bacon Cheddar McChicken,6 oz (171 g),480,24,7,0,65,1260,43,2,6,,22,McD,Chicken & Fish,220,38,35,21,53,14,8,4,10,20,15
Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,21,5,0,50,1260,41,2,6,,20,McD,Chicken & Fish,190,32,25,17,53,14,7,2,10,15,15
Buffalo Ranch McChicken,5.2 oz (148 g),360,16,3,0,35,990,40,2,5,,14,McD,Chicken & Fish,150,25,16,11,41,13,7,2,2,15,15
Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,32,9,0.5,80,1540,56,3,7,,32,McD,Chicken & Fish,280,49,45,26,64,19,13,60,20,20,20
Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,19,7,0,95,1370,42,3,6,,36,McD,Chicken & Fish,170,28,36,32,57,14,13,60,25,20,20
Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,31,8,0.5,65,1340,56,3,8,,27,McD,Chicken & Fish,280,47,40,21,56,19,14,60,15,20,20
Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,18,6,0.5,80,1170,42,3,6,,30,McD,Chicken & Fish,160,27,31,27,49,14,14,60,15,15,20
Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670,33,8,0.5,60,1480,68,5,12,,27,McD,Chicken & Fish,300,51,40,21,62,23,19,60,15,20,20
Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520,20,6,0,80,1320,55,5,10,,31,McD,Chicken & Fish,180,31,32,27,55,18,20,70,15,20,20
Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540,23,4.5,0,50,1260,61,3,14,,23,McD,Chicken & Fish,200,35,23,16,52,20,13,60,15,8,20
Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,10,3,0,65,1090,47,3,12,,27,McD,Chicken & Fish,90,15,14,22,45,16,13,60,15,8,20
Chicken McNuggets (4 piece),2.3 oz (65 g),190,12,2,0,25,360,12,1,0,,9,McD,Chicken & Fish,110,18,10,9,15,4,2,0,2,0,2
Chicken McNuggets (6 piece),3.4 oz (97 g),280,18,3,0,40,540,18,1,0,,13,McD,Chicken & Fish,160,27,15,13,22,6,4,0,2,2,4
Chicken McNuggets (10 piece),5.7 oz (162 g),470,30,5,0,65,900,30,2,0,,22,McD,Chicken & Fish,270,45,25,22,37,10,6,0,4,2,6
Chicken McNuggets (20 piece),11.4 oz (323 g),940,59,10,0,135,1800,59,3,0,,44,McD,Chicken & Fish,530,91,50,44,75,20,12,0,8,4,10
Chicken McNuggets (40 piece),22.8 oz (646 g),1880,118,20,1,265,3600,118,6,1,,87,McD,Chicken & Fish,1060,182,101,89,150,39,24,0,15,8,25
Filet-O-Fish,5 oz (142 g),390,19,4,0,40,590,39,2,5,,15,McD,Chicken & Fish,170,29,19,14,24,13,7,2,0,15,10
Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140,7,3.5,0,25,300,10,3,4,,9,McD,Salads,70,11,18,9,13,3,12,170,30,15,6
Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,21,6,0,70,860,22,2,5,,25,McD,Salads,190,33,29,23,36,7,10,100,25,15,8
Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,8,4,0,85,690,8,2,4,,29,McD,Salads,80,13,20,29,29,3,10,110,30,15,8
Premium Southwest Salad (without Chicken),8.1 oz (230 g),140,4.5,2,0,10,150,20,6,6,,6,McD,Salads,40,7,9,3,6,7,23,160,25,15,10
Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450,22,4.5,0,50,850,42,7,12,,23,McD,Salads,190,33,22,17,35,14,28,170,30,15,15
Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290,8,2.5,0,70,680,28,7,10,,27,McD,Salads,80,13,13,23,28,9,28,170,30,15,15
Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,15,4.5,0,30,780,37,1,8,,14,McD,Snacks & Sides,130,23,22,11,33,12,6,4,0,10,10
Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,8,3.5,0,40,700,30,1,7,,16,McD,Snacks & Sides,70,13,18,14,29,10,6,4,2,10,10
Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,15,4.5,0,35,730,34,1,3,,14,McD,Snacks & Sides,130,23,22,11,30,11,5,2,0,10,10
Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,8,3.5,0,45,650,27,1,2,,16,McD,Snacks & Sides,70,13,18,14,27,9,5,2,2,10,10
Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,20,5,0,40,810,32,1,3,,15,McD,Snacks & Sides,180,30,27,13,34,11,5,2,0,10,10
Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,13,4.5,0,45,720,25,1,2,,16,McD,Snacks & Sides,120,20,22,16,30,8,5,2,2,10,10
Small French Fries,2.6 oz (75 g),230,11,1.5,0,0,130,30,2,0,,2,McD,Snacks & Sides,100,17,8,0,5,10,10,0,30,0,4
Medium French Fries,3.9 oz (111 g),340,16,2.5,0,0,190,44,4,0,,4,McD,Snacks & Sides,140,24,11,0,8,15,14,0,45,2,4
Large French Fries,5.9 oz (168 g),510,24,3.5,0,0,290,67,5,0,,6,McD,Snacks & Sides,220,37,17,0,12,22,22,0,70,2,8
Kids French Fries,1.3 oz (38 g),110,5,1,0,0,65,15,1,0,,1,McD,Snacks & Sides,50,8,4,0,3,5,5,0,15,0,2
Side Salad,3.1 oz (87 g),20,0,0,0,0,10,4,1,2,,1,McD,Snacks & Sides,0,0,0,0,0,1,6,45,25,2,4
Apple Slices,1.2 oz (34 g),15,0,0,0,0,0,4,0,3,,0,McD,Snacks & Sides,0,0,0,0,0,1,0,0,160,2,0
Fruit 'n Yogurt Parfait,5.2 oz (149 g),150,2,1,0,5,70,30,1,23,,4,McD,Snacks & Sides,20,3,5,2,3,10,3,2,15,10,4
Baked Apple Pie,2.7 oz (77 g),250,13,7,0,0,170,32,4,13,,2,McD,Desserts,110,19,35,0,7,11,15,4,25,2,6
Chocolate Chip Cookie,1 cookie (33 g),160,8,3.5,0,10,90,21,1,15,,2,McD,Desserts,70,12,19,3,4,7,3,2,0,2,8
Oatmeal Raisin Cookie,1 cookie (33 g),150,6,2.5,0,10,135,22,1,13,,2,McD,Desserts,50,9,13,3,6,7,3,2,0,2,6
Kids Ice Cream Cone,1 oz (29 g),45,1.5,1,0,5,20,7,0,6,,1,McD,Desserts,10,2,4,2,1,2,0,2,0,4,0
Hot Fudge Sundae,6.3 oz (179 g),330,9,7,0,25,170,53,1,48,,8,McD,Desserts,80,14,34,8,7,18,3,8,0,25,8
Hot Caramel Sundae,6.4 oz (182 g),340,8,5,0,30,150,60,0,43,,7,McD,Desserts,70,12,24,10,6,20,0,10,0,25,0
Strawberry Sundae,6.3 oz (178 g),280,6,4,0,25,85,49,0,45,,6,McD,Desserts,60,10,20,8,4,16,0,8,4,20,0
Coca-Cola Classic (Small),16 fl oz cup,140,0,0,0,0,0,39,0,39,,0,McD,Beverages,0,0,0,0,0,13,0,0,0,0,0
Coca-Cola Classic (Medium),21 fl oz cup,200,0,0,0,0,5,55,0,55,,0,McD,Beverages,0,0,0,0,0,18,0,0,0,0,0
Coca-Cola Classic (Large),30 fl oz cup,280,0,0,0,0,5,76,0,76,,0,McD,Beverages,0,0,0,0,0,25,0,0,0,0,0
Coca-Cola Classic (Child),12 fl oz cup,100,0,0,0,0,0,28,0,28,,0,McD,Beverages,0,0,0,0,0,9,0,0,0,0,0
Diet Coke (Small),16 fl oz cup,0,0,0,0,0,10,0,0,0,,0,McD,Beverages,0,0,0,0,0,0,0,0,0,0,0
Diet Coke (Medium),21 fl oz cup,0,0,0,0,0,20,0,0,0,,0,McD,Beverages,0,0,0,0,1,0,0,0,0,0,0
Diet Coke (Large),30 fl oz cup,0,0,0,0,0,35,0,0,0,,0,McD,Beverages,0,0,0,0,1,0,0,0,0,0,0
Diet Coke (Child),12 fl oz cup,0,0,0,0,0,15,0,0,0,,0,McD,Beverages,0,0,0,0,1,0,0,0,0,0,0
Dr Pepper (Small),16 fl oz cup,140,0,0,0,0,45,37,0,35,,0,McD,Beverages,0,0,0,0,2,12,0,0,0,0,0
Dr Pepper (Medium),21 fl oz cup,190,0,0,0,0,65,53,0,51,,0,McD,Beverages,0,0,0,0,3,18,0,0,0,0,0
Dr Pepper (Large),30 fl oz cup,270,0,0,0,0,90,72,0,70,,0,McD,Beverages,0,0,0,0,4,24,0,0,0,0,0
Dr Pepper (Child),12 fl oz cup,100,0,0,0,0,30,27,0,26,,0,McD,Beverages,0,0,0,0,1,9,0,0,0,0,0
Diet Dr Pepper (Small),16 fl oz cup,0,0,0,0,0,70,0,0,0,,2,McD,Beverages,0,0,0,0,3,0,0,0,0,0,0
Diet Dr Pepper (Medium),21 fl oz cup,0,0,0,0,0,100,0,0,0,,3,McD,Beverages,0,0,0,0,4,0,0,0,0,0,0
Diet Dr Pepper (Large),30 fl oz cup,0,0,0,0,0,140,0,0,0,,4,McD,Beverages,0,0,0,0,6,0,0,0,0,0,0
Diet Dr Pepper (Child),12 fl oz cup,0,0,0,0,0,50,0,0,0,,1,McD,Beverages,0,0,0,0,2,0,0,0,0,0,0
Sprite (Small),16 fl oz cup,140,0,0,0,0,30,37,0,37,,0,McD,Beverages,0,0,0,0,1,12,0,0,0,0,0
Sprite (Medium),21 fl oz cup,200,0,0,0,0,45,54,0,54,,0,McD,Beverages,0,0,0,0,2,18,0,0,0,0,0
Sprite (Large),30 fl oz cup,280,0,0,0,0,60,74,0,74,,0,McD,Beverages,0,0,0,0,3,25,0,0,0,0,0
Sprite (Child),12 fl oz cup,100,0,0,0,0,25,27,0,27,,0,McD,Beverages,0,0,0,0,1,9,0,0,0,0,0
1% Low Fat Milk Jug,1 carton (236 ml),100,2.5,1.5,0,10,125,12,0,12,,8,McD,Beverages,20,4,8,3,5,4,0,10,4,30,0
Fat Free Chocolate Milk Jug,1 carton (236 ml),130,0,0,0,5,135,23,1,22,,9,McD,Beverages,0,0,0,2,6,8,2,10,0,30,8
Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),80,0,0,0,0,15,21,0,19,,0,McD,Beverages,0,0,0,0,1,7,0,0,100,10,0
Minute Maid Orange Juice (Small),12 fl oz cup,150,0,0,0,0,0,34,0,30,,2,McD,Beverages,0,0,0,0,0,11,0,0,130,2,0
Minute Maid Orange Juice (Medium),16 fl oz cup,190,0,0,0,0,0,44,0,39,,3,McD,Beverages,0,0,0,0,0,15,0,0,160,4,0
Minute Maid Orange Juice (Large),22 fl oz cup,280,0,0,0,0,5,65,0,58,,4,McD,Beverages,0,0,0,0,0,22,0,0,240,4,0
Dasani Water Bottle,16.9 fl oz,0,0,0,0,0,0,0,0,0,,0,McD,Beverages,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Small),16 fl oz cup,0,0,0,0,0,10,0,0,0,,0,McD,Coffee & Tea,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Medium),21 fl oz cup,0,0,0,0,0,10,0,0,0,,0,McD,Coffee & Tea,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Large),30 fl oz cup,0,0,0,0,0,15,0,0,0,,0,McD,Coffee & Tea,0,0,0,0,1,0,0,0,0,0,0
Iced Tea (Child),12 fl oz cup,0,0,0,0,0,5,0,0,0,,0,McD,Coffee & Tea,0,0,0,0,0,0,0,0,0,0,0
Sweet Tea (Small),16 fl oz cup,150,0,0,0,0,10,36,0,36,,1,McD,Coffee & Tea,0,0,0,0,0,12,0,0,0,0,0
Sweet Tea (Medium),21 fl oz cup,180,0,0,0,0,10,45,0,45,,1,McD,Coffee & Tea,0,0,0,0,0,15,0,0,0,0,0
Sweet Tea (Large),30 fl oz cup,220,0,0,0,0,10,54,0,54,,1,McD,Coffee & Tea,0,0,0,0,1,18,0,0,0,0,0
Sweet Tea (Child),12 fl oz cup,110,0,0,0,0,5,27,0,27,,0,McD,Coffee & Tea,0,0,0,0,0,9,0,0,0,0,0
Coffee (Small),12 fl oz cup,0,0,0,0,0,0,0,0,0,,0,McD,Coffee & Tea,0,0,0,0,0,0,0,0,0,0,0
Coffee (Medium),16 fl oz cup,0,0,0,0,0,0,0,0,0,,0,McD,Coffee & Tea,0,0,0,0,0,0,0,0,0,0,0
Coffee (Large),16 fl oz cup,0,0,0,0,0,0,0,0,0,,0,McD,Coffee & Tea,0,0,0,0,0,0,0,0,0,0,0
Latte (Small),12 fl oz cup,170,9,5,0,25,115,15,1,12,,9,McD,Coffee & Tea,80,13,24,9,5,5,3,8,0,30,0
Latte (Medium),16 fl oz cup,210,10,6,0,30,140,18,1,15,,11,McD,Coffee & Tea,90,16,30,11,6,6,4,10,0,35,0
Latte (Large),20 fl oz cup,280,14,8,0,40,180,24,1,20,,15,McD,Coffee & Tea,120,21,39,14,8,8,6,15,0,50,2
Caramel Latte (Small),12 fl oz cup,270,9,5,0,25,115,40,1,38,,9,McD,Coffee & Tea,80,13,24,9,5,13,3,8,0,30,0
Caramel Latte (Medium),16 fl oz cup,340,10,6,0,30,140,50,1,48,,11,McD,Coffee & Tea,90,16,30,11,6,17,4,10,0,35,0
Caramel Latte (Large),20 fl oz cup,430,14,8,0,40,180,62,1,59,,15,McD,Coffee & Tea,120,21,39,14,8,21,6,15,0,50,2
Hazelnut Latte (Small),12 fl oz cup,270,9,5,0,25,115,40,1,38,,9,McD,Coffee & Tea,80,13,24,9,5,13,3,8,0,30,0
Hazelnut Latte (Medium),16 fl oz cup,330,10,6,0,30,140,50,1,47,,11,McD,Coffee & Tea,90,16,30,11,6,17,4,10,0,35,0
Hazelnut Latte (Large),20 fl oz cup,430,14,8,0,40,180,62,1,58,,15,McD,Coffee & Tea,120,21,39,14,8,21,6,15,0,50,2
French Vanilla Latte (Small),12 fl oz cup,260,9,5,0,25,115,38,1,36,,9,McD,Coffee & Tea,80,13,24,9,5,13,3,8,0,30,0
French Vanilla Latte (Medium),16 fl oz cup,330,10,6,0,30,140,48,1,45,,11,McD,Coffee & Tea,90,16,30,11,6,16,4,10,0,35,2
French Vanilla Latte (Large),20 fl oz cup,420,14,8,0,40,190,60,1,56,,15,McD,Coffee & Tea,120,21,39,14,8,20,6,15,0,50,2
Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,210,9,5,0,25,150,24,1,12,,9,McD,Coffee & Tea,80,13,24,9,6,8,4,8,0,30,0
Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,260,10,6,0,30,190,29,1,15,,12,McD,Coffee & Tea,90,16,30,11,8,10,5,10,0,35,0
Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,330,14,8,0,40,240,37,2,20,,15,McD,Coffee & Tea,120,21,39,14,10,12,7,15,0,50,2
Nonfat Latte (Small),12 fl oz cup,100,0,0,0,5,110,15,1,13,,10,McD,Coffee & Tea,0,0,0,2,5,5,3,10,0,30,0
Nonfat Latte (Medium),16 fl oz cup,130,0,0,0,5,135,19,1,16,,12,McD,Coffee & Tea,0,0,0,2,6,6,4,15,0,40,0
Nonfat Latte (Large),20 fl oz cup,170,0.5,0,0,10,180,25,1,21,,16,McD,Coffee & Tea,0,1,0,3,7,8,6,15,0,50,2
Nonfat Caramel Latte (Small),12 fl oz cup,200,0,0,0,5,110,41,1,39,,10,McD,Coffee & Tea,0,0,0,2,5,14,3,10,0,30,0
Nonfat Caramel Latte (Medium),16 fl oz cup,250,0,0,0,5,135,51,1,48,,12,McD,Coffee & Tea,0,0,0,2,6,17,4,15,0,40,0
Nonfat Caramel Latte (Large),20 fl oz cup,310,0.5,0,0,10,180,63,1,59,,16,McD,Coffee & Tea,0,1,0,3,7,21,6,15,0,50,2
Nonfat Hazelnut Latte (Small),12 fl oz cup,200,0,0,0,5,110,40,1,38,,10,McD,Coffee & Tea,0,0,0,2,5,13,3,10,0,30,0
Nonfat Hazelnut Latte (Medium),16 fl oz cup,250,0,0,0,5,135,51,1,48,,12,McD,Coffee & Tea,0,0,0,2,6,17,4,15,0,40,0
